"zip","area_name","LA_city","lon","lat","native_territories","native_languages"
90001,"Florence/South Central",TRUE,-118.2468148,33.9697897,"Chumash,Tongva,Kizh","Tongva"
90002,"Watts",TRUE,-118.2497386,33.9511133,"Chumash,Tongva,Kizh","Tongva"
90003,"South Central",TRUE,-118.2731269,33.9657994,"Chumash,Tongva,Kizh","Tongva"
90004,"Hancock Park",TRUE,-118.3082034,34.0748887,"Chumash,Tongva,Kizh","Tongva"
90005,"Koreatown",TRUE,-118.3096648,34.0578814,"Chumash,Tongva,Kizh","Tongva"
90006,"Pico Heights",TRUE,-118.2965121,34.0470832,"Chumash,Tongva,Kizh","Tongva"
90007,"South Central",TRUE,-118.2848199,34.0295114,"Chumash,Tongva,Kizh","Tongva"
90008,"Baldwin Hills/Crenshaw/Leimert Park",TRUE,-118.3491169,34.0083231,"Chumash,Tongva,Kizh","Tongva"
90009,"Airport Worldway",TRUE,-118.3869165,33.9532336,"Chumash,Tongva,Kizh","Tongva"
90010,"Wilshire Blvd",TRUE,-118.3089341,34.0625448,"Chumash,Tongva,Kizh","Tongva"
90011,"South Central",TRUE,-118.2585096,34.007889,"Chumash,Tongva,Kizh","Tongva"
90012,"Civic Center/Chinatown",TRUE,-118.243891,34.0653347,"Chumash,Tongva,Kizh","Tongva"
90013,"Downtown Los Angeles",TRUE,-118.2405557,34.0445905,"Chumash,Tongva,Kizh","Tongva"
90014,"Los Angeles",FALSE,-118.2519314,34.0434783,"Chumash,Tongva,Kizh","Tongva"
90015,"Downtown Los Angeles",TRUE,-118.2672801,34.0390107,"Chumash,Tongva,Kizh","Tongva"
90016,"West Adams",TRUE,-118.3520389,34.0255188,"Chumash,Tongva,Kizh","Tongva"
90017,"Downtown Los Angeles",TRUE,-118.2672801,34.0543797,"Chumash,Tongva,Kizh","Tongva"
90018,"Jefferson Park",TRUE,-118.319894,34.0309972,"Chumash,Tongva,Kizh","Tongva"
90019,"Country Club Park/Mid City",TRUE,-118.3403506,34.0489277,"Chumash,Tongva,Kizh","Tongva"
90020,"Hancock Park",TRUE,-118.3096648,34.0655627,"Chumash,Tongva,Kizh","Tongva"
90021,"Downtown Los Angeles",TRUE,-118.2380432,34.0309258,"Chumash,Tongva,Kizh","Tongva"
90022,"East Los Angeles",FALSE,-118.153228,34.0238187,"Chumash,Tongva,Kizh","Tongva"
90023,"East Los Angeles",TRUE,-118.2000277,34.0224471,"Chumash,Tongva,Kizh","Tongva"
90024,"Westwood",TRUE,-118.4367551,34.0631451,"Chumash,Tongva,Kizh","Chumash,Tongva"
90025,"Sawtelle/West Los Angeles",TRUE,-118.4484367,34.0448583,"Chumash,Tongva,Kizh","Chumash,Tongva"
90026,"Echo Park/Silverlake",TRUE,-118.2585096,34.0796167,"Chumash,Tongva,Kizh","Tongva"
90027,"Griffith Park/Los Feliz",TRUE,-118.2935891,34.1220545,"Chumash,Tongva,Kizh","Tongva"
90028,"Hollywood",TRUE,-118.325739,34.1012181,"Chumash,Tongva,Kizh","Tongva"
90029,"Downtown Los Angeles",TRUE,-118.2965121,34.0880507,"Chumash,Tongva,Kizh","Tongva"
90030,"Terminal Annex",TRUE,-118.24,34.06,"Chumash,Tongva,Kizh","Tongva"
90031,"Montecito Heights",TRUE,-118.2117257,34.081032,"Chumash,Tongva,Kizh","Tongva"
90032,"El Sereno/Monterey Hills",TRUE,-118.1766294,34.0795169,"Chumash,Tongva,Kizh","Tongva"
90033,"Boyle Heights",TRUE,-118.2117257,34.0502898,"Chumash,Tongva,Kizh","Tongva"
90034,"Palms",TRUE,-118.395863,34.0324632,"Chumash,Tongva,Kizh","Tongva"
90035,"West Fairfax",TRUE,-118.3841777,34.050751,"Chumash,Tongva,Kizh","Tongva"
90036,"Park La Brea",TRUE,-118.3520389,34.0664817,"Chumash,Tongva,Kizh","Tongva"
90037,"South Central",TRUE,-118.2818967,34.002058,"Chumash,Tongva,Kizh","Tongva"
90038,"Hollywood",TRUE,-118.3315838,34.0895186,"Chumash,Tongva,Kizh","Tongva"
90039,"Atwater Village",TRUE,-118.2585096,34.1103407,"Chumash,Tongva,Kizh","Tongva"
90040,"Commerce, City of",FALSE,-118.153228,33.9930471,"Chumash,Tongva,Kizh","Tongva"
90041,"Eagle Rock",TRUE,-118.2117257,34.1322469,"Chumash,Tongva,Kizh","Tongva"
90042,"Highland Park",TRUE,-118.188329,34.1175895,"Chumash,Tongva,Kizh","Tongva"
90043,"Hyde Park/View Park/Windsor Hills",TRUE,-118.3286614,33.9903827,"Chumash,Tongva,Kizh","Tongva"
90044,"Athens",FALSE,-118.2935891,33.9478802,"Chumash,Tongva,Kizh","Tongva"
90045,"LAX Area/Westchester",TRUE,-118.3875775,33.9516114,"Chumash,Tongva,Kizh","Tongva"
90046,"Mount Olympus",TRUE,-118.3637264,34.1147313,"Chumash,Tongva,Kizh","Tongva"
90047,"South Central",TRUE,-118.3082034,33.9519253,"Chumash,Tongva,Kizh","Tongva"
90048,"West Beverly",TRUE,-118.3724915,34.0741548,"Chumash,Tongva,Kizh","Tongva"
90049,"Bel Air Estates/Brentwood",TRUE,-118.4980744,34.0963058,"Chumash,Tongva,Kizh","Chumash,Tongva"
90050,"Los Angeles",FALSE,-118.2036321,34.1206108,"Chumash,Tongva,Kizh","Tongva"
90051,"Los Angeles",FALSE,-118.25,33.95,"Chumash,Tongva,Kizh","Tongva"
90052,"Los Angeles",FALSE,-118.2592405,33.9788726,"Chumash,Tongva,Kizh","Tongva"
90053,"Los Angeles",FALSE,-118.2399854,34.0499892,"Chumash,Tongva,Kizh","Tongva"
90054,"Los Angeles",FALSE,-118.24,34.06,"Chumash,Tongva,Kizh","Tongva"
90055,"Los Angeles",FALSE,-118.2584017,34.038371,"Chumash,Tongva,Kizh","Tongva"
90056,"Ladera Heights",TRUE,-118.3666482,33.9885683,"Chumash,Tongva,Kizh","Tongva"
90057,"Westlake",TRUE,-118.2789735,34.0617061,"Chumash,Tongva,Kizh","Tongva"
90058,"Vernon",FALSE,-118.2234229,34.0063747,"Chumash,Tongva,Kizh","Tongva"
90059,"Watts/Willowbrook",TRUE,-118.2468148,33.9287591,"Chumash,Tongva,Kizh","Tongva"
90060,"Los Angeles",FALSE,-118.24,34.06,"Chumash,Tongva,Kizh","Tongva"
90061,"South Central",TRUE,-118.2731269,33.9196443,"Tongva,Kizh","Tongva"
90062,"South Central",TRUE,-118.3082034,34.0031792,"Chumash,Tongva,Kizh","Tongva"
90063,"City Terrace",FALSE,-118.1854042,34.0440239,"Chumash,Tongva,Kizh","Tongva"
90064,"Cheviot Hills/Rancho Park",TRUE,-118.4221519,34.0386656,"Chumash,Tongva,Kizh","Tongva"
90065,"Cypress Park/Glassell Park/Mt. Washin",TRUE,-118.2234229,34.10885,"Chumash,Tongva,Kizh","Tongva"
